id,title,abstract,authors,year,venue,search_strings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"136,Fairness Testing: A Comprehensive Survey and Analysis of Trends,""Unfair behaviors of Machine Learning (ML) software have garnered increasing attention and concern among software engineers. To tackle this issue, extensive research has been dedicated to conducting fairness testing of ML software, and this article offers a comprehensive survey of existing studies in this field. We collect 100 papers and organize them based on the testing workflow (i.e., how to test) and testing components (i.e., what to test). Furthermore, we analyze the research focus, trends, and promising directions in the realm of fairness testing. We also identify widely adopted datasets and open-source tools for fairness testing."",""Chen, Zhenpeng"; Zhang, Jie M.; Hort, Max; Harman, Mark;" Sarro, Federica"",2024,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"137,Reeq: Testing and Mitigating Ethically Inconsistent Suggestions of Large Language Models with Reflective Equilibrium,""LLMs increasingly serve as general-purpose AI assistants in daily life, and their subtly unethical suggestions become a serious and real concern. It is demanding to test and mitigate such unethical suggestions from LLMs. Despite existing efforts to detect violations of “testable” facets of ethics (e.g., fairness testing), it is challenging to encode the full scope of ethics (e.g., justice, deontology) into a test oracle without human annotations or intervention.In this article, we take inspiration from reflective equilibrium, a modern moral reasoning method in moral and political philosophy, to guide our approach. Instead of seeking unethical suggestions in LLMs, we aim to identify behavioral inconsistency in LLMs’ ethics-related suggestions. These inconsistencies are anticipated to serve as a useful proxy and hint at unethical suggestions. We formulate reflective equilibrium in the form of fixed-point iteration, instantiate it as a novel test oracle, and also employ it to form a mitigation scheme for LLMs’ behavioral inconsistency on ethics-related inputs. To facilitate testing, we also create a comprehensive test suite, EthicsSuite, with 20K moral situations. In our study, we evaluate eight widely used LLMs. Our experiments reveal that LLMs are prone to ethical inconsistencies, with 81.22% of our test cases prompting ethically inconsistent suggestions on average. Our human evaluation suggests that the majority of these inconsistencies indeed manifest unethical biases. Our mitigation scheme effectively refines a significant number (80.1%) of these suggestions for commercial LLMs such as GPT-4 and Claude."",""Ma, Pingchuan"; Wang, Zhaoyu; Li, Zongjie; Ji, Zhenlan; Sun, Ao; Rahmel, Juergen;" Wang, Shuai"",2025,ACM Transactions on Software Engineering and Methodology,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"138,Combating Missed Recalls in E-commerce Search: A CoT-Prompting Testing Approach,""Search components in e-commerce apps, often complex AI-based systems, are prone to bugs that can lead to missed recalls—situations where items that should be listed in search results aren't. This can frustrate shop owners and harm the app's profitability. However, testing for missed recalls is challenging due to difficulties in generating user-aligned test cases and the absence of oracles. In this paper, we introduce mrDetector, the first automatic testing approach specifically for missed recalls. To tackle the test case generation challenge, we use findings from how users construct queries during searching to create a CoT prompt to generate user-aligned queries by LLM. In addition, we learn from users who create multiple queries for one shop and compare search results, and provide a test oracle through a metamorphic relation. Extensive experiments using open access data demonstrate that mrDetector outperforms all baselines with the lowest false positive ratio. Experiments with real industrial data show that mrDetector discovers over one hundred missed recalls with only 17 false positives."",""Wu, Shengnan"; Hu, Yongxiang; Wang, Yingchuan; Gu, Jiazhen; Meng, Jin; Fan, Liujie; Luan, Zhongshi; Wang, Xin;" Zhou, Yangfan"",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"139,An LLM Assistant for Software Project Onboarding,""New developers commonly join software teams for projects in the advanced stages of development. They frequently face barriers, especially in software comprehension, that impede their ability to make early contributions. To aid newcomers in understanding software projects, we have developed an LLM-based tool called SPAC-B that can answer software project-specific questions. In this study, a case study is conducted to investigate the accuracy of SPAC-B's answers to common developer questions when resolving issues on two open-source projects regarding relevance, completeness, and correctness. On a Likert scale (1–5), answers from SPAC-B scored a mean of 4.6 in relevance and 4.3 in completeness and correctness. An experiment with ten software developers is performed to further examine SPAC-B's ability to help newcomers formulate plans for resolving real-life open-source issues. Results show that the participants could make a better implementation plan with the use of SPAC-B and 8/10 participants found the tool to be helpful."",""Larsen, Knud Ronau"; Edvall, Magnus; Ho-Quang, Truong; Dobslaw, Felix;" Jolak, Rodi"",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"140,Artificial Intelligence Generation Content Empowering Java Framework Application Course for Software Technology Major,""With the rapid development of artificial intelligence-generated content (AIGC) technology, its application in the field of education has gradually become an important direction of teaching reform. This paper takes the course of “Java Framework Application “in software technology major as the research object, discusses how to empower the traditional teaching mode through AIGC technology, and improve the teaching quality and practical effect of the course. Firstly, the pain points existing in the current Java framework course teaching were analyzed, including the shortage of case resources, the single practice scene, and the lack of personalized guidance. Secondly, combined with the technical characteristics of AIGC, a multi-dimensional application model covering code generation, intelligent question answering, scene simulation and learning effect evaluation was constructed. By introducing a large language model to automatically generate customized case codes of mainstream frameworks such as Spring Boot and MyBatis, conversational AI is used to assist students to solve development problems in real time, and a virtual project scene is constructed based on generative technology to strengthen engineering practice ability. Teaching practice shows that the application of AIGC technology greatly improves students 'code standardization and project development efficiency, and teachers can accurately locate learning weaknesses through intelligent analysis tools. This study provides a reusable implementation path for the intelligent transformation of technology courses, and verifies the empowering value of generative artificial intelligence in the field of vocational education, which has important reference significance for the optimization of future curriculum system."",""Zhang, Jiahao"",2025,Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial Intelligence,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"141,Quality Assessment of Python Tests Generated by Large Language Models,""The manual generation of test scripts is a time-intensive, costly, and error-prone process, indicating the value of automated solutions. Large Language Models (LLMs) have shown great promise in this domain, leveraging their extensive knowledge to produce test code more efficiently. This study investigates the quality of Python test code generated by three LLMs: GPT-4o, Amazon Q, and LLama 3.3. We evaluate the structural reliability of test suites generated under two distinct prompt contexts: Text2Code (T2C) and Code2Code (C2C). Our analysis includes the identification of errors and test smells, with a focus on correlating these issues to inadequate design patterns. Our findings reveal that most test suites generated by the LLMs contained at least one error or test smell. Assertion errors were the most common, comprising 64% of all identified errors, while the test smell Lack of Cohesion of Test Cases was the most frequently detected (41%). Prompt context significantly influenced test quality";" textual prompts with detailed instructions often yielded tests with fewer errors but a higher incidence of test smells. Among the evaluated LLMs, GPT-4o produced the fewest errors in both contexts (10% in C2C and 6% in T2C), whereas Amazon Q had the highest error rates (19% in C2C and 28% in T2C). For test smells, Amazon Q had fewer detections in the C2C context (9%), while LLama 3.3 performed best in the T2C context (10%). Additionally, we observed a strong relationship between specific errors, such as assertion or indentation issues, and test case cohesion smells. These findings demonstrate opportunities for improving the quality of test generation by LLMs and highlight the need for future research to explore optimized generation scenarios and better prompt engineering strategies."",""Alves, Victor"; Bezerra, Carla; Machado, Ivan; Rocha, Larissa; Virgínio, Tassio;" Silva, Publio"",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"142,Everyone Contributes! Incentivizing Strategic Cooperation in Multi-LLM Systems via Sequential Public Goods Games,""Coordinating multiple large language models (LLMs) to solve complex tasks collaboratively poses a fundamental trade-off between computational costs and collective performance when compared with individual models. We introduce a novel, game-theoretically grounded reinforcement learning (RL) framework, the Multi-Agent Cooperation Sequential Public Goods Game (MAC-SPGG), to systematically incentivize cooperation in multi-LLM ensembles. In MAC-SPGG, LLM agents move in sequence, observing predecessors' outputs and updating beliefs to condition their own contributions. By redesigning the public-goods reward, effortful contributions become the unique Subgame Perfect Nash Equilibrium (SPNE), which eliminates free-riding under traditional SPGG or PGG. Its sequential protocol replaces costly round-based information exchanges with a streamlined decision flow, cutting communication overhead while retaining strategic depth. We prove the existence and uniqueness of the SPNE under realistic parameters and empirically demonstrate that MAC-SPGG-trained ensembles outperform single-agent baselines, chain-of-thought prompting, and other cooperative methods, achieving comparable performance to large-scale models across various tasks, including reasoning, math, code generation, and NLP. Our results highlight the power of structured, incentive-aligned MAC-SPGG cooperation for scalable and robust multi-agent language generation. Appendix and code can be found at https://github.com/YunhaoLiang/MAC-SPGG."",""Liang, Yunhao"; Qu, Yuan; Yang, Jingyuan; Lin, Shaochong;" Shen, Zuo-Jun Max"",2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"143,Automatically Benchmarking LLM Code Agents through Agent-driven Annotation and Evaluation,""Recent advances in code agents have enabled automated software development at the project level, supported by large language models (LLMs) and widely adopted tools. However, existing benchmarks for code agent evaluation face two major limitations: high annotation cost and expertise requirements, and rigid evaluation metrics that rely primarily on unit tests. To address these challenges, we propose an agent-driven benchmark construction pipeline that leverages human supervision to efficiently generate diverse and challenging project-level tasks. Based on this approach, we introduce PRDBench, a novel benchmark comprising 50 real-world Python projects across 20 domains, each with structured Product Requirement Document (PRD) requirements, comprehensive evaluation criteria, and reference implementations. PRDBench features rich data sources, high task complexity, and flexible metrics. We further employ an Agent-as-a-Judge paradigm to score agent outputs, enabling the evaluation of various test types beyond unit tests. Extensive experiments on PRDBench demonstrate its effectiveness in assessing the capabilities of both code agents and evaluation agents, providing a scalable and robust framework for annotation and evaluation."",""Fu, Lingyue"; Zhang, Bolun; Guan, Hao; Zhu, Yaoming; Qiu, Lin; Liu, Weiwen; Cao, Xuezhi; Cai, Xunliang; Zhang, Weinan;" Yu, Yong"",2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"144,Translation of Low-Resource COBOL to Logically Correct and Readable Java leveraging High-Resource Java Refinement,""Automated translation of legacy code to modern programming languages is the need of the hour for modernizing enterprise systems. This work specifically addresses automated COBOL to Java translation. Traditional rule-based tools for this perform statement-wise translation, overlooking possible modularization and refactoring of the source COBOL code to translate to human-readable target Java code. Our investigation reveals that state-of-the-art Large Language Models (LLMs) in the domain of code encounter difficulties with regard to logical correctness and readability when directly translating low-resource COBOL code to Java. To address these challenges, we propose an LLM-based workflow, leveraging temperature sampling and refinement-based strategies, to not only ensure logical correctness of the translation but also maximize the readability of the target Java code. We exploit the fact that, due to their extensive exposure to human-written Java codes during pre-training, the LLMs are more equipped with profound comprehension and capability for refining translated Java codes than COBOL to Java translation. With a dataset sourced from CodeNet, we perform sequential refinement of the translated high-resource Java code with execution-guided logic feedback followed by LLM-based readability feedback. We demonstrate that this yields better performance in terms of logical correctness (81.99% execution accuracy) and readability (0.610 score), than LLM based translation with test cases and readability guidance (60.25% and 0.539) or refinement of the translation task itself (77.95% and 0.572)."",""Gandhi, Shubham"; Patwardhan, Manasi; Khatri, Jyotsana; Vig, Lovekesh;" Medicherla, Raveendra Kumar"",2024,Proceedings of the 1st International Workshop on Large Language Models for Code,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"145,Semantic Constraint Inference for Web Form Test Generation,""Automated test generation for web forms has been a longstanding challenge, exacerbated by the intrinsic human-centric design of forms and their complex, device-agnostic structures. We introduce an innovative approach, called FormNexus, for automated web form test generation, which emphasizes deriving semantic insights from individual form elements and relations among them, utilizing textual content, DOM tree structures, and visual proximity. The insights gathered are transformed into a new conceptual graph, the Form Entity Relation Graph (FERG), which offers machine-friendly semantic information extraction. Leveraging LLMs, FormNexus adopts a feedback-driven mechanism for generating and refining input constraints based on real-time form submission responses. The culmination of this approach is a robust set of test cases, each produced by methodically invalidating constraints, ensuring comprehensive testing scenarios for web forms. This work bridges the existing gap in automated web form testing by intertwining the capabilities of LLMs with advanced semantic inference methods. Our evaluation demonstrates that FormNexus combined with GPT-4 achieves 89% coverage in form submission states. This outcome significantly outstrips the performance of the best baseline model by a margin of 25%."",""Alian, Parsa"; Nashid, Noor; Shahbandeh, Mobina;" Mesbah, Ali"",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"146,An Empirical Study on the Code Refactoring Capability of Large Language Models,""Large Language Models (LLMs) aim to generate and understand human-like text by leveraging deep learning and natural language processing techniques. In software development, LLMs can enhance the coding experience through coding automation, reducing development time and improving code quality. Code refactoring is a technique used to enhance the internal quality of the code base without altering its external functionalities. Leveraging LLMs for code refactoring can help developers improve code quality with minimal effort. This paper presents an empirical study evaluating the quality of refactored code produced by StarCoder2, GPT-4o-mini, GPT-4o, LLaMA 3, and DeepSeek-v3. Specifically, we (1) evaluate whether the code refactored by the LLMs can improve code quality, (2) understand the differences between the types of refactoring applied by the different LLMs and compare their effectiveness, and (3) evaluate whether the quality of the refactored code generated by the LLM can be improved through one-shot prompting and chain-of-thought prompting. We analyze the refactoring capabilities of LLMs on 30 open-source Java projects. We evaluate StarCoder2, LLaMA 3, GPT-4o-mini, GPT-4o, and DeepSeek-v3 on their ability to improve static code quality metrics, pass unit tests, and reduce code smells. Our findings reveal that production-grade models such as GPT-4o and DeepSeek-v3 achieve pass@5 unit test success rates above 90% on multi-file refactorings. LLaMA 3 achieves the highest overall code smell reduction with a median reduction of 15.1%, while DeepSeek-v3 and GPT-4o achieve the greatest improvements in cohesion, coupling, and complexity. StarCoder2 demonstrates strengths in modularity improvements and systematic refactorings. Developers outperform LLMs in complex, context-sensitive refactorings such as attribute encapsulation. We also show that prompt engineering significantly affects LLM performance: chain-of-thought prompting improves StarCoder2's test pass rate by 1.7% and increases code smell reduction compared to zero-shot prompting. One-shot prompting also expands the variety of refactorings LLMs can perform. These results suggest that LLMs are effective for many refactoring tasks, especially when guided with tailored prompts, but benefit from integration with human expertise for architectural or semantically complex changes. By providing insights into the capabilities and best practices for integrating LLMs into the software development process, our study aims to enhance the effectiveness and efficiency of code refactoring in real-world applications."",""Cordeiro, Jonathan"; Noei, Shayan;" Zou, Ying"",,ACM Transactions on Software Engineering and Methodology,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"147,What?s in a Display Name? An Empirical Study on the Use of Display Names in Open-Source JUnit Tests,""Readability is an important aspect of any production or test code artefact. During development, testing and maintenance, the readability of a unit test can be a key contributor to its usefulness for a range of tasks, including refactoring, debugging, and test augmentation. Several strategies have been proposed both in academia and in industry to build readability into unit tests, e.g., test code summarisation and test naming conventions. Display names constitute an industry-led effort to incorporate natural language descriptions into unit tests. In this paper, we investigate the use of display names in a large dataset of open-source Java projects. Our study reveals that despite being a stable feature of the JUnit framework for at least five years, display names are not widely used in open-source projects yet. We analyse existing display names in terms of length, language and grammatical structure, explore the use of a large language model to generate display names similar to those open-source developers write, and develop a taxonomy of display name smells aimed at fostering a more cohesive and coherent use of the feature by developers."",""Qiao, Yining";" Rojas, José Miguel"",2024,Proceedings of the Third ACM/IEEE International Workshop on NL-based Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"148,Static and Dynamic Comparison of Mutation Testing Tools for Python,,""Guerino, Lucca Renato"; Kuroishi, Pedro Henrique; Paiva, Ana Cristina Ramada;" Vincenzi, Auri Marcelo Rizzo"",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"149,Automated Model-Based Fuzzing for 5G O-RAN,""The evolution of 5G and future-G technologies has led to the development of an open, distributed, and multi-vendor architecture known as Open Radio Access Network (O-RAN). While O-RAN offers greater flexibility and stimulates innovation, it also introduces potential issues such as bugs, inconsistencies, and vulnerabilities. In this paper, we present a novel model-based fuzzing system, ARCANE, to address these challenges. Unlike existing fuzzing techniques that struggle with the complexity and dynamism of O-RAN, ARCANE distinguishes itself by employing a smart, model-based approach. It first analyzes O-RAN specifications using a Large Language Model (LLM) and incorporates a unique method that integrates passive model learning to refine the model. With this refined model, ARCANE designs an O-RAN-aware, model-based fuzzing scheme that maintains high efficiency by adhering to O-RAN's specific semantics and syntax. We implement ARCANE and evaluate it on the OAI5G. It finds 9 root bugs from three categories, all having serious security implications. ARCANE has shown superior efficiency and coverage compared to state-of-the-arts."",""Tan, Sixu"; Li, Zeyu; Liu, Zhutian; Patel, Harsh;" Tan, Zhaowei"",2025,Proceedings of the 31st Annual International Conference on Mobile Computing and Networking,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"150,Analyzing LLM Usage in an Advanced Computing Class in India,,""Arora, Utkarsh"; Garg, Anupam; Gupta, Aryan; Jain, Samyak; Mehta, Ronit; Oberoi, Rupin; Prachi; Raina, Aryaman; Saini, Manav; Sharma, Sachin; Singh, Jaskaran; Tyagi, Sarthak;" Kumar, Dhruv"",2025,Proceedings of the 27th Australasian Computing Education Conference,String B";;;;;;;;;;;;;;;;;;;;;;;;;
"151,Pitfalls in Language Models for Code Intelligence: A Taxonomy and Survey,""Modern Language Models (LMs) have been successfully employed in source code generation and understanding, leading to a significant increase in research focused on learning-based code intelligence, such as automated bug repair and test case generation. Despite their great potential, LMs for code intelligence (LM4Code) are susceptible to potential pitfalls, which hinder realistic performance and further impact their reliability and applicability in real-world deployment. Such challenges drive the need for a comprehensive understanding—not just identifying these issues but delving into their possible implications and existing solutions to build more reliable LMs tailored to code intelligence. Based on a well-defined systematic research approach, we conducted an extensive literature review to uncover the pitfalls inherent in LM4Code. Finally, 121 primary studies from top-tier venues have been identified. After carefully examining these studies, we designed a taxonomy of pitfalls in LM4Code research and conducted a systematic study to summarize the issues, current solutions, implications, and challenges of different pitfalls for LM4Code systems. We developed a comprehensive classification scheme that dissects pitfalls across four crucial aspects: data collection and labeling, system design and learning, performance evaluation, and deployment and maintenance. Through this study, we aim to provide a roadmap for researchers and practitioners, facilitating their understanding and utilization of LM4Code in reliable and trustworthy ways."",""She, Xinyu"; Liu, Yue; Zhao, Yanjie; He, Yiling; Li, Li; Tantithamthavorn, Chakkrit; Qin, Zhan;" Wang, Haoyu"",2026,ACM Transactions on Software Engineering and Methodology,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"152,Case Studies on LLM Centric and Services Oriented Data Analytics Agent Development,,""Yu, Hong Qing"; Sutton, Jack; O'Neill, Sam;" Reiff-Marganiec, Stephan"",2024,Proceedings of the 2024 13th International Conference on Software and Information Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"153,TurnStyle: A Framework for Analyzing Human Conversational Behaviors to Predict Success in LLM-Assisted Tasks,""LLMs are widespread across educational and professional environments, often used to tackle tasks beyond users’ prior expertise. However, there is limited work on task-agnostic, turn-level frameworks to characterize human communication styles with LLMs that are linked to better task outcomes. We introduce TurnStyle, a framework that provides a turn-level taxonomy of human contributions in human–AI conversations, grounded in collaborative learning theory, with a reliability protocol and open-source tooling for public datasets. We apply TurnStyle to two public multi-turn corpora with objective outcomes – StudyChat (college-level assignments) and DevGPT (software engineering issues and pull requests (PRs)) – and to a workplace reskilling randomized trial in which management consultants used ChatGPT for coding, statistics, and machine learning. Across 3,365 conversations with 26,335 human turns spanning the three datasets, mixed-effects and sequence analyses converge on task-agnostic, trainable behaviors that predict task success";" this has implications for training, evaluation, and the design of collaborative AI systems."",""Awasthi, Urvi"; Krayer, Lisa;" Sack, Daniel"",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"154,Breaking the Silence: the Threats of Using LLMs in Software Engineering,""Large Language Models (LLMs) have gained considerable traction within the Software Engineering (SE) community, impacting various SE tasks from code completion to test generation, from program repair to code summarization. Despite their promise, researchers must still be careful as numerous intricate factors can influence the outcomes of experiments involving LLMs. This paper initiates an open discussion on potential threats to the validity of LLM-based research including issues such as closed-source models, possible data leakage between LLM training data and research evaluation, and the reproducibility of LLM-based findings. In response, this paper proposes a set of guidelines tailored for SE researchers and Language Model (LM) providers to mitigate these concerns. The implications of the guidelines are illustrated using existing good practices followed by LLM providers and a practical example for SE researchers in the context of test case generation."",""Sallou, June"; Durieux, Thomas;" Panichella, Annibale"",2024,Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"155,DiaVio: LLM-Empowered Diagnosis of Safety Violations in ADS Simulation Testing,""Simulation testing has been widely adopted by leading companies to ensure the safety of autonomous driving systems (ADSs). Anumber of scenario-based testing approaches have been developed to generate diverse driving scenarios for simulation testing, and demonstrated to be capable of finding safety violations. However, there is no automated way to diagnose whether these violations are caused by the ADS under test and which category these violations belong to. As a result, great effort is required to manually diagnose violations. To bridge this gap, we propose DiaVio to automatically diagnose safety violations in simulation testing by leveraging large language models (LLMs). It is built on top of a new domain specific language (DSL) of crash to align real-world accident reports described in natural language and violation scenarios in simulation testing. DiaVio fine-tunes a base LLM with real-world accident reports to learn diagnosis capability, and uses the fine-tuned LLM to diagnose violation scenarios in simulation testing. Our evaluation has demonstrated the effectiveness and efficiency of DiaVio in violation diagnosis."",""Lu, You"; Tian, Yifan; Bi, Yuyang; Chen, Bihuan;" Peng, Xin"",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"156,An Experience Report: Lessons in Progressive Project Design with LLM Support,""This paper explores the use of Large Language Models (LLMs) such as Claude for generating programming assignments in an advanced data structures course. While LLMs offer promising assistance in educational content creation, we find that effective use requires significant meta-programming and iterative refinement. Drawing from experience transitioning a course from Java to C# and implementing a compiler-like project across multiple assignments, we discuss both the benefits and challenges of LLM-assisted assignment creation. Our experiences suggest that while LLMs expedite code authorship and significantly accelerate the development of unit tests, they require substantial subject matter expertise and customization to produce appropriately scaffolded educational materials."",""Alvin, Chris"",2025,Journal of Computing Sciences in Colleges,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"157,MTF: an Open-Source Metamorphic Testing Framework for LLM-based systems,""Metamorphic testing is an emerging approach to solve oracle problems. It relies on relations among different executions of the System Under Test (SUT), called metamorphic relations. This article presents an open-source metamorphic testing framework dedicated to validating LLM-based web services applications. It is decomposed into a metamorphic test generator and a test driver. Both rely on a predefined set of metamorphic relations implemented as libraries that can be completed."",""Henry, Theis"; Savourat, Sian; du Bousquet, Lydie;" Nakamura, Masahide"",2025,Proceedings of the 2025 5th International Conference on Artificial Intelligence and Application Technologies,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"158,Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge in Software Engineering,""Recently, large language models (LLMs) have been deployed to tackle various software engineering (SE) tasks like code generation, significantly advancing the automation of SE tasks. However, assessing the quality of these LLM-generated code and text remains challenging. The commonly used Pass@k metric necessitates extensive unit tests and configured environments, demands a high labor cost, and is not suitable for evaluating LLM-generated text. Conventional metrics like BLEU, which measure only lexical rather than semantic similarity, have also come under scrutiny. In response, a new trend has emerged to employ LLMs for automated evaluation, known as LLM-as-a-judge. These LLM-as-a-judge methods are claimed to better mimic human assessment than conventional metrics without relying on high-quality reference answers. Nevertheless, their exact human alignment in SE tasks remains unexplored.In this paper, we empirically explore LLM-as-a-judge methods for evaluating SE tasks, focusing on their alignment with human judgments. We select seven LLM-as-a-judge methods that utilize general-purpose LLMs, alongside two LLMs specifically fine-tuned for evaluation. After generating and manually scoring LLM responses on three recent SE datasets of code translation, code generation, and code summarization, we then prompt these methods to evaluate each response. Finally, we compare the scores generated by these methods with human evaluation. The results indicate that output-based methods reach the highest Pearson correlation of 81.32 and 68.51 with human scores in code translation and generation, achieving near-human evaluation, noticeably outperforming ChrF++, one of the best conventional metrics, at 34.23 and 64.92. Such output-based methods prompt LLMs to output judgments directly, and exhibit more balanced score distributions that resemble human score patterns. Finally, we provide insights and implications, concluding that current state-of-the-art LLM-as-a-judge methods can potentially replace human evaluations in certain SE tasks."",""Wang, Ruiqi"; Guo, Jiyu; Gao, Cuiyun; Fan, Guodong; Chong, Chun Yong;" Xia, Xin"",2025,Proceedings of the ACM on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"159,Software Engineering Using Autonomous Agents: Are We There Yet?,""Autonomous agents equipped with Large Language Models (LLMs) are rapidly gaining prominence as a revolutionary technology within the realm of Software Engineering. These intelligent and autonomous systems demonstrate the capacity to perform tasks and make independent decisions, leveraging their intrinsic reasoning and decision-making abilities.This paper delves into the current state of autonomous agents, their capabilities, challenges, and opportunities in Software Engineering practices. By employing different prompts (with or without context), we conclude the advantages of context-rich prompts for autonomous agents. Prompts with context enhance user requirement understanding, avoiding irrelevant details that could hinder task comprehension and degrade model performance, particularly when dealing with complex frameworks such as Spring Boot, Django, Flask, etc.This exploration is conducted using Auto-GPT (v0.3.0), an open-source application powered by GPT-3.5 and GPT-4 which intelligently connects the """"thoughts"""" of Large Language Models (LLMs) to independently accomplish the assigned goals or tasks."",""Suri, Samdyuti"; Das, Sankar Narayan; Singi, Kapil; Dey, Kuntal; Sharma, Vibhu Saujanya;" Kaulgud, Vikrant"",2023,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"160,Test Oracle Generation for REST APIs,""The number and complexity of test case generation tools for REST APIs have significantly increased in recent years. These tools excel in automating input generation but are limited by their test oracles, which can only detect crashes, regressions, and violations of API specifications or design best practices. This article introduces AGORA+, an approach for generating test oracles for REST APIs through the detection of invariants—output properties that should always hold. AGORA+ learns the expected behavior of an API by analyzing API requests and their corresponding responses. We enhanced the Daikon tool for dynamic detection of likely invariants, adding new invariant types and creating a front-end called Beet. Beet translates any OpenAPI specification and a set of API requests and responses into Daikon inputs. AGORA+ can detect 106 different types of invariants in REST APIs. We also developed PostmanAssertify, which converts the invariants identified by AGORA+ into executable JavaScript assertions. AGORA+ achieved a precision of 80% on 25 operations from 20 industrial APIs. It also identified 48% of errors systematically seeded in the outputs of the APIs under test. AGORA+ uncovered 32 bugs in popular APIs, including Amadeus, Deutschebahn, GitHub, Marvel, NYTimesBooks, and YouTube, leading to fixes and documentation updates."",""Alonso, Juan C."; Ernst, Michael D.; Segura, Sergio;" Ruiz-Cortés, Antonio"",2025,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"161,MultiMind: A Plug-in for the Implementation of Development Tasks Aided by AI Assistants,""The integration of AI assistants into software development workflows is rapidly evolving, shifting from automation-assisted tasks to collaborative interactions between developers and AI. Large Language Models (LLMs) have demonstrated their effectiveness in several development activities, including code completion, test case generation, and documentation production. However, embedding AI-assisted tasks within Integrated Development Environments (IDEs) presents significant challenges. It requires designing mechanisms to invoke AI assistants at the appropriate time, coordinate interactions with multiple assistants, process the generated outputs, and present feedback in a way that seamlessly integrates with the development workflow. To address these issues, we introduce MultiMind, a Visual Studio Code plug-in that streamlines the creation of AI-assisted development tasks. MultiMind provides a modular and extensible framework, enabling developers to cost-effectively implement and experiment with new AI-powered interactions without the need for complex IDE customizations. MultiMind has been tested in two use cases: one for the automatic generation of code comments and the other about the definition of AI-powered chat."",""Donato, Benedetta"; Mariani, Leonardo; Micucci, Daniela; Riganelli, Oliviero;" Somaschini, Marco"",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
